question	answer
我的寶寶算數嗎？	如果您的寶寶是2020年4月1日或2020年4月1日之前出生的，則應計入您的收入，您應將其納入2020年人口普查。如果您的嬰兒是2020年4月2日或之後出生的-他們不計入2020年人口普查。您應該在2030年人口普查中算出他們。
應該如何計算年幼的孩子？	計算生活在您家裡的所有孩子，包括孫子，侄女和侄子以及親朋好友的孩子。在家庭之間共享時間的孩子大部分時間都在生活和睡覺的地方。如果他們無法確定大部分時間的居住地，則將其計入2020年4月1日的住處。到2020年4月1日仍在醫院中的新生嬰兒將計入其將居住和居住的房屋中。即使他們仍在醫院，大部分時間也要睡覺。 2020年4月1日下午11:59:59之前出生的任何嬰兒計入2020年人口普查。
由於COVID-19，我的兒子/女兒從大學搬回了家，我可以在普查表中包括他們嗎？	好問題。這是三種情況。如果您的大學生當時住在國外，現在住在家裡，那麼他們算上現在住在哪裡。如果您的大學生居住在校園內，則他們的學校將對他們進行計數，而您無需對它們進行計數。如果您的大學生住在校外，他們應該自己和/或與室友一起填寫表格。如果不是COVID-19，則應使用原本居住的地址。
如果多個人從同一位置或地址在線響應，會不會有問題？	不會。您在哪裡問卷都沒有關係。重要的是您在表單中輸入的地址。
2020年人口普查是否包括有關公民身份的問題？	2020年人口普查問卷將不包含有關個人公民身份的問題。每個人，無論其移民身份如何，都有某些基本權利。對於那些擔心打開門的人，您可以通過其他方式參與。您可以在家中舒適地在線和通過電話參與。請填寫您的人口普查問卷。不完整的調查表可能會增加您遭到美國人口普查局無回應跟進的機會。自2020年3月12日起，家庭將收到邀請以在線方式響應2020年人口普查。您的參與至關重要，您的信息受到保護。
我的信息會保密嗎？	是的，您所有信息的機密性將得到保護。您無法被單獨識別。
即使我沒有證件，我也應該填寫人口普查嗎？	是的，填寫人口普查很重要，這樣您和社區的利益才能在國家一級得到充分代表。
我會因為普查結果而被驅逐出境嗎？	不會，人口普查局不得與移民執法部門分享個人的回答，也不能將您的回答用於統計分析以外的任何目的。
如果我跳過一個問題會怎樣？	如果您跳過一個或兩個問題，仍然會計算您的表格，但是如果您跳過許多問題或根本不回答人口普查，人口普查局可能會跟進並要求您提供缺失的信息。您跳過的問題越少，人口普查局進行跟進的可能性就越小。
13880號行政命令是什麼意思？	國土安全部（DHS）可以與經營人口普查局的商務部共享有關公民身份的信息，但是商務部以及人口普查局不能與DHS共享信息。
我的人口普查響應會影響我正在進行的移民案件嗎？	不會。人口普查局無法與DHS和ICE等移民執法機構共享您的任何個人信息。
我不想在人口普查中透露我的電話號碼。	可以跳過一個或兩個問題，但是跳過的問題越多，人口普查局就會跟進並要求提供缺失的信息。人口普查局只能就正式的人口普查業務與您聯繫，不能與移民執法機構共享您的信息。
人口普查中是否有國籍問題？	没有，沒有問題要求您在人口普查中顯示您的公民身份。
我的人口普查反應會發給ICE嗎？	不會。人口普查局無法與移民執法部門共享您的個人信息。
